"PetrolPrice","time"
0.114142227335262,"July 1979"
0.112992933231466,"August 1979"
0.111320706029796,"September 1979"
0.109126229280665,"October 1979"
0.107698459343112,"November 1979"
0.107601574334496,"December 1979"
0.103775019202843,"January 1980"
0.107114170431059,"February 1980"
0.107374774370757,"March 1980"
0.111695372689559,"April 1980"
0.110638184592354,"May 1980"
0.111855211329895,"June 1980"
0.109742342683337,"July 1980"
0.108193931510232,"August 1980"
0.106255362697951,"September 1980"
0.104193034427699,"October 1980"
0.101933972880902,"November 1980"
0.102793824574291,"December 1980"
0.10476034144929,"January 1981"
0.104002535534347,"February 1981"
0.116655515402424,"March 1981"
0.11516147558196,"April 1981"
0.112989543494316,"May 1981"
0.113860643932406,"June 1981"
0.119118081064489,"July 1981"
0.124489986005886,"August 1981"
0.123222945411622,"September 1981"
0.12067793212866,"October 1981"
0.121048982651421,"November 1981"
0.116968571491487,"December 1981"
0.112750259392875,"January 1982"
0.108079306704711,"February 1982"
0.108838515984019,"March 1982"
0.111291766408542,"April 1982"
0.111304009176187,"May 1982"
0.115454357532553,"June 1982"
0.114768296055692,"July 1982"
0.117207430931122,"August 1982"
0.119076397031248,"September 1982"
0.117965862171995,"October 1982"
0.117449127100423,"November 1982"
0.116988457838933,"December 1982"
0.11261053571781,"January 1983"
0.113657015681422,"February 1983"
0.113144445252379,"March 1983"
0.118495534815352,"April 1983"
0.117969401200945,"May 1983"
0.1176866141183,"June 1983"
0.120059238961094,"July 1983"
0.119437745680998,"August 1983"
0.118881271786551,"September 1983"
0.118462360710195,"October 1983"
0.118016598400236,"November 1983"
0.117706622543368,"December 1983"
0.117776089941536,"January 1984"
0.114796991716514,"February 1984"
0.11573525277085,"March 1984"
0.115356263024722,"April 1984"
0.114815360704668,"May 1984"
0.114777477886645,"June 1984"
0.114935980147534,"July 1984"
0.114796991716514,"August 1984"
0.114093156728444,"September 1984"
0.116465521799171,"October 1984"
0.116026113132354,"November 1984"
0.116066729379379,"December 1984"
